origin,destination,count,number_of_carriers,carriers/0,air_time,delay,carriers/1,carriers/2,carriers/3,carriers/4,carriers/5,carriers/6,carriers/7,carriers/8
IAH,HRL,364,2,WN,45.77472527,12.88736264,XE,,,,,,,
IAH,TUL,351,3,CO,60.68376068,10.54985755,WN,XE,,,,,,
IAH,DCA,368,4,CO,132.4972826,1.913043478,UA,XE,YV,,,,,
MCI,PHX,365,3,US,88.95068493,2.071232877,WN,YV,,,,,,
LAS,LAX,998,6,AA,43.5991984,3.270541082,NW,UA,US,WN,YV,,,
LAS,PHX,918,3,US,44.41830065,1.241830065,WN,YV,,,,,,
LAS,SLC,420,3,DL,59.33809524,4.392857143,OO,WN,,,,,,
LAS,SAN,447,2,WN,44.68680089,6.125279642,YV,,,,,,,
LAS,SFO,550,4,UA,70.49272727,8.207272727,US,WN,YV,,,,,
LAS,SNA,345,2,WN,40.62898551,2.31884058,YV,,,,,,,
LGB,PHX,338,1,YV,48.02071006,2.284023669,,,,,,,,
LAX,JFK,744,4,AA,268.0215054,-7.803763441,B6,DL,UA,,,,,
LAX,OAK,460,1,WN,55.79565217,7.219565217,,,,,,,,
LAX,PHX,878,4,OO,52.69703872,5.758542141,US,WN,YV,,,,,
LAX,SAC,376,2,OO,63.35106383,8.111702128,WN,,,,,,,
LAX,SLC,393,3,DL,85.96437659,12.63358779,OO,WN,,,,,,
LAX,SAN,935,2,MQ,27.67272727,3.760427807,OO,,,,,,,
LAX,SFO,997,4,AA,57.81544634,13.31995988,AS,UA,WN,,,,,
LAX,SJC,584,3,MQ,52.45376712,5.659246575,OO,WN,,,,,,
LAX,SBA,380,2,MQ,21.06052632,2.836842105,OO,,,,,,,
LAX,SEA,406,2,AS,140.5172414,0,OO,,,,,,,
LAX,DCA,336,3,AA,237.2827381,-2.68452381,AS,UA,,,,,,
MIA,JFK,596,2,AA,135.2567114,7.134228188,DL,,,,,,,
MIA,DCA,341,1,AA,108.4985337,11.06158358,,,,,,,,
MWC,PHX,378,4,F9,114.2777778,4.544973545,FL,US,WN,,,,,
MSP,PHX,514,2,NW,121.1031128,3.23540856,US,,,,,,,
JFK,MCO,645,4,AA,139.0868217,12.97364341,B6,DL,FL,,,,,
JFK,PHX,384,3,B6,155.5260417,2.192708333,DL,US,,,,,,
JFK,SFO,537,4,AA,346.3351955,0.108007449,B6,DL,UA,,,,,
JFK,TPA,356,4,AA,149.9353933,13.22752809,B6,DL,NW,,,,,
JFK,DCA,1013,6,B6,45.64856861,6.244817374,MQ,OH,UA,US,YV,,,
JFK,PBI,394,2,B6,146.2284264,17.69543147,NW,,,,,,,
EWR,MCO,395,2,B6,141.0962025,23.62531646,CO,,,,,,,
EWR,PHX,425,2,CO,173.4635294,4.701176471,US,,,,,,,
OAK,PHX,530,3,US,70.26226415,1.347169811,WN,YV,,,,,,
OAK,SAN,359,1,WN,65.27855153,5.075208914,,,,,,,,
OAK,SEA,346,2,AS,99.5867052,-2.904624277,WN,,,,,,,
OMA,PHX,331,3,US,80.40785498,4.619335347,WN,YV,,,,,,
ONT,PHX,597,3,US,47.96649916,1.743718593,WN,YV,,,,,,
MCO,PHL,504,3,FL,109.3630952,6.537698413,US,WN,,,,,,
MCO,DCA,503,5,B6,92.33996024,0.994035785,FL,UA,US,WN,,,,
PSP,PHX,365,1,YV,43.82739726,5.446575342,,,,,,,,
PHL,PHX,455,2,US,167.7846154,5.582417582,WN,,,,,,,
PHX,PDX,332,3,AS,150.9126506,2.996987952,US,WN,,,,,,
PHX,SAC,325,2,US,105.3107692,7.021538462,WN,,,,,,,
PHX,SLC,587,5,DL,77.32708688,5.669505963,OO,US,WN,YV,,,,
PHX,SAN,526,2,US,50.87452471,8.009505703,WN,,,,,,,
PHX,SFO,430,4,OO,105.5651163,10.45348837,UA,US,WN,,,,,
PHX,SNA,455,3,US,57.37362637,4.997802198,WN,YV,,,,,,
PHX,SEA,397,3,AS,162.4937028,-4.246851385,US,WN,,,,,,
SAC,SAN,351,1,WN,67.2962963,6.783475783,,,,,,,,
SLC,SEA,329,3,DL,103.6869301,4.480243161,OO,WN,,,,,,
SAN,SFO,501,3,OO,71.41317365,10.34730539,UA,WN,,,,,,
SFO,SNA,370,3,OO,61.07027027,9.1,UA,WN,,,,,,
SFO,SEA,366,2,AS,98.98907104,-0.912568306,UA,,,,,,,
