iata,name,city,state,longitude,latitude
MLB,"Melbourne, FL",Melbourne,FL,-80.6627,28.1085
MEM,"Memphis, TN",Memphis,TN,-89.9773,35.1046
MEI,"Meridian, MS",Meridian,MS,-88.6896,32.3846
MIA,"Miami, FL",Miami,FL,-80.2102,25.7839
MAF,"Midland, TX",Midland,TX,-102.1137,32.0249
MWC,"Milwaukee, WI",Milwaukee,WI,-87.9673,43.0642
MSP,"Minneapolis, MN",Minneapolis,MN,-93.2678,44.9635
MOT,"Minot, ND",Minot,ND,-101.2781,48.2375
MFE,"Mission, TX",Mission,TX,-98.3251,26.2041
MSO,"Missoula, MT",Missoula,MT,-114.0214,46.875
BFM,"Mobile, AL",Mobile,AL,-88.1162,30.6783
MOD,"Modesto, CA",Modesto,CA,-121.0028,37.6374
MLI,"Moline, IL",Moline,IL,-90.4921,41.4821
MLU,"Monroe, LA",Monroe,LA,-92.0774,32.5183
MRY,"Monterey, CA",Monterey,CA,-121.8807,36.5922
MGM,"Montgomery, AL",Montgomery,AL,-86.2666,32.3473
MTJ,"Montrose, CO",Montrose,CO,-107.859,38.469
MWH,"Moses Lake, WA",Moses Lake,WA,-119.2761,47.128
MYR,"Myrtle Beach, SC",Myrtle Beach,SC,-78.8843,33.7096
BNA,"Nashville, TN",Nashville,TN,-86.7843,36.1715
EWN,"New Bern, NC",New Bern,NC,-77.0723,35.0955
MSY,"New Orleans, LA",New Orleans,LA,-89.9288,30.0687
JFK,"New York, NY",New York,NY,-73.9249,40.6943
EWR,"Newark, NJ",Newark,NJ,-74.1725,40.7245
PHF,"Newport News, VA",Newport News,VA,-76.5185,37.1051
OME,"Nome, AK",Nome,AK,-165.4053,64.5213
ORF,"Norfolk, VA",Norfolk,VA,-76.259,36.8945
OAK,"Oakland, CA",Oakland,CA,-122.2165,37.7903
OKC,"Oklahoma City, OK",Oklahoma City,OK,-97.5136,35.4676
OMA,"Omaha, NE",Omaha,NE,-96.0522,41.2627
ONT,"Ontario, CA",Ontario,CA,-117.6064,34.0393
MCO,"Orlando, FL",Orlando,FL,-81.3369,28.4772
OXR,"Oxnard, CA",Oxnard,CA,-119.1815,34.1963
PSP,"Palm Springs, CA",Palm Springs,CA,-116.5382,33.8017
PFN,"Panama City, FL",Panama City,FL,-85.6004,30.1995
PSC,"Pasco, WA",Pasco,WA,-119.1304,46.2506
PNS,"Pensacola, FL",Pensacola,FL,-87.1886,30.4427
PIA,"Peoria, IL",Peoria,IL,-89.6153,40.752
PSG,"Petersburg, AK",Petersburg,AK,-132.8727,56.7566
PHL,"Philadelphia, PA",Philadelphia,PA,-75.1339,40.0077
PHX,"Phoenix, AZ",Phoenix,AZ,-112.0891,33.5722
PIR,"Pierre, SD",Pierre,SD,-100.3205,44.3748
PIT,"Pittsburgh, PA",Pittsburgh,PA,-79.9762,40.4396
PIH,"Pocatello, ID",Pocatello,ID,-112.4646,42.8724
PSE,"Ponce, PR",Ponce,PR,-66.6198,18.012
PWM,"Portland, ME",Portland,ME,-70.2715,43.6773
PDX,"Portland, OR",Portland,OR,-122.65,45.5372
POU,"Poughkeepsie, NY",Poughkeepsie,NY,-73.921,41.6949
PVD,"Providence, RI",Providence,RI,-71.4187,41.823
RAP,"Rapid City, SD",Rapid City,SD,-103.2204,44.0716
RDD,"Redding, CA",Redding,CA,-122.365,40.5698
RNO,"Reno, NV",Reno,NV,-119.8483,39.5497
RIC,"Richmond, VA",Richmond,VA,-77.4756,37.5295
ROA,"Roanoke, VA",Roanoke,VA,-79.958,37.2785
RSI,"Rochester, MN",Rochester,MN,-92.4778,44.0151
ROC,"Rochester, NY",Rochester,NY,-77.6162,43.168
RKS,"Rock Springs, WY",Rock Springs,WY,-109.2238,41.5951
ROW,"Roswell, NM",Roswell,NM,-104.5294,33.373
SAC,"Sacramento, CA",Sacramento,CA,-121.4683,38.5667
MBS,"Saginaw, MI",Saginaw,MI,-83.9501,43.4199
SLC,"Salt Lake City, UT",Salt Lake City,UT,-111.9306,40.7777
SJT,"San Angelo, TX",San Angelo,TX,-100.4506,31.4424
SAT,"San Antonio, TX",San Antonio,TX,-98.5253,29.4658
HRL,"San Benito, TX",San Benito,TX,-97.644,26.1298
SAN,"San Diego, CA",San Diego,CA,-117.1225,32.8312
SFO,"San Francisco, CA",San Francisco,CA,-122.443,37.7562
SJC,"San Jose, CA",San Jose,CA,-121.8486,37.3019
SIG,"San Juan, PR",San Juan,PR,-66.0636,18.4037
SBP,"San Luis Obispo, CA",San Luis Obispo,CA,-120.6691,35.2669
SNA,"Santa Ana, CA",Santa Ana,CA,-117.8819,33.7366
SBA,"Santa Barbara, CA",Santa Barbara,CA,-119.7202,34.4285
SAF,"Santa Fe, NM",Santa Fe,NM,-105.9819,35.6619
SMX,"Santa Maria, CA",Santa Maria,CA,-120.4432,34.9334
SAV,"Savannah, GA",Savannah,GA,-81.1784,32.0281
SEA,"Seattle, WA",Seattle,WA,-122.3244,47.6211
SHV,"Shreveport, LA",Shreveport,LA,-93.7956,32.4656
FSD,"Sioux Falls, SD",Sioux Falls,SD,-96.732,43.5397
SIT,"Sitka, AK",Sitka,AK,-135.3153,57.2401
SBN,"South Bend, IN",South Bend,IN,-86.2696,41.6767
GEG,"Spokane, WA",Spokane,WA,-117.433,47.6671
SPI,"Springfield, IL",Springfield,IL,-89.6538,39.771
SGF,"Springfield, MO",Springfield,MO,-93.2916,37.1943
SGU,"St. George, UT",St. George,UT,-113.577,37.077
STL,"St. Louis, MO",St. Louis,MO,-90.2451,38.6358
UNV,"State College, PA",State College,PA,-77.8568,40.7909
SYR,"Syracuse, NY",Syracuse,NY,-76.1438,43.0409
TLH,"Tallahassee, FL",Tallahassee,FL,-84.2526,30.4551
TPA,"Tampa, FL",Tampa,FL,-82.4451,27.9942
